ch,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
2,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
5.5,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
11,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14
6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
12,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
18,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
24,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
36,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
48,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
54,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
mcs0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
mcs1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
mcs2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
mcs3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
mcs4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
mcs5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
mcs6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
mcs7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1e9c,0,,,,,,,,,,,,,
1edc,0,,,,,,,,,,,,,
